Temp,Humidity,visibility,air_pressure,Wind_speed,Datetime
13°C,Rel.humidity:59%,Visibility:6000m,Pressure:1023.0mb,Wind: 11  Km/h,18/03/2022 00:55:40
13°C,Rel.humidity:59%,Visibility:6000m,Pressure:1023.0mb,Wind: 11  Km/h,18/03/2022 00:56:46
13°C,Rel.humidity:59%,Visibility:6000m,Pressure:1023.0mb,Wind: 11  Km/h,18/03/2022 00:57:56
13°C,Rel.humidity:59%,Visibility:6000m,Pressure:1023.0mb,Wind: 11  Km/h,18/03/2022 00:58:57
13°C,Rel.humidity:59%,Visibility:6000m,Pressure:1023.0mb,Wind: 11  Km/h,18/03/2022 00:59:55
13°C,Rel.humidity:59%,Visibility:6000m,Pressure:1023.0mb,Wind: 11  Km/h,18/03/2022 01:01:04
13°C,Rel.humidity:59%,Visibility:6000m,Pressure:1023.0mb,Wind: 11  Km/h,18/03/2022 01:02:05
13°C,Rel.humidity:59%,Visibility:6000m,Pressure:1023.0mb,Wind: 11  Km/h,18/03/2022 01:03:06
13°C,Rel.humidity:59%,Visibility:6000m,Pressure:1023.0mb,Wind: 11  Km/h,18/03/2022 01:04:00
13°C,Rel.humidity:59%,Visibility:6000m,Pressure:1023.0mb,Wind: 11  Km/h,18/03/2022 01:05:05
